,cluster
2017-11-01 00:20:00,2
2017-11-01 20:10:00,0
2017-11-04 09:15:00,2
2017-11-04 09:20:00,1
2017-11-04 09:25:00,0
2017-11-04 09:30:00,0
2017-11-04 09:50:00,0
2017-11-04 09:55:00,0
2017-11-06 12:05:00,2
2017-11-14 08:40:00,3
2017-11-16 16:20:00,3
2017-11-16 19:15:00,3
2017-11-16 19:20:00,3
2017-11-16 19:25:00,3
2017-11-16 19:30:00,3
2017-11-16 19:35:00,3
2017-11-17 10:20:00,3
2017-11-17 10:25:00,3
2017-11-17 10:30:00,3
2017-11-19 11:25:00,3
2017-11-19 18:20:00,3
2017-11-22 06:25:00,2
2017-11-22 06:30:00,1
2017-11-22 06:35:00,1
2017-11-25 12:20:00,2
2017-11-27 19:05:00,3
2017-11-27 20:25:00,2
2017-11-27 20:30:00,1
2017-12-08 21:25:00,1
2017-12-08 21:35:00,2
2017-12-08 21:45:00,2
2017-12-08 23:20:00,1
2017-12-09 02:15:00,2
2017-12-09 02:35:00,2
2017-12-09 02:40:00,2
2017-12-09 02:45:00,2
2017-12-09 02:50:00,2
2017-12-09 02:55:00,2
2017-12-09 03:00:00,2
2017-12-09 03:05:00,2
2017-12-09 03:10:00,2
2017-12-09 03:15:00,2
2017-12-09 03:20:00,2
2017-12-09 03:25:00,2
2017-12-09 03:30:00,2
2017-12-09 03:35:00,2
2017-12-09 03:40:00,2
2017-12-09 03:45:00,2
2017-12-09 03:50:00,2
2017-12-09 03:55:00,2
2017-12-09 04:00:00,2
2017-12-09 04:45:00,2
2017-12-09 04:50:00,2
2017-12-09 04:55:00,2
2017-12-09 05:15:00,2
2017-12-09 05:25:00,2
2017-12-09 05:30:00,2
2017-12-09 05:35:00,2
2017-12-09 05:40:00,2
2017-12-09 05:45:00,2
2017-12-09 05:50:00,2
2017-12-09 05:55:00,2
2017-12-09 06:00:00,2
2017-12-09 06:05:00,2
2017-12-09 06:10:00,2
2017-12-09 06:15:00,2
2017-12-09 06:20:00,2
2017-12-09 06:25:00,2
2017-12-09 06:30:00,2
2017-12-09 06:35:00,2
2017-12-09 06:40:00,2
2017-12-09 06:45:00,2
2017-12-09 06:50:00,2
2017-12-09 06:55:00,2
2017-12-09 07:00:00,2
2017-12-09 07:05:00,2
2017-12-09 07:10:00,2
2017-12-09 07:15:00,2
2017-12-09 07:20:00,2
2017-12-09 07:25:00,2
2017-12-09 07:30:00,2
2017-12-09 07:35:00,2
2017-12-09 07:40:00,2
2017-12-09 07:45:00,2
2017-12-09 07:50:00,2
2017-12-09 07:55:00,2
2017-12-09 08:00:00,2
2017-12-09 08:05:00,2
2017-12-09 08:10:00,2
2017-12-09 08:15:00,2
2017-12-09 08:20:00,2
2017-12-09 08:25:00,2
2017-12-09 08:30:00,2
2017-12-09 08:35:00,2
2017-12-09 08:40:00,2
2017-12-09 08:45:00,2
2017-12-09 08:50:00,2
2017-12-09 10:30:00,2
2017-12-09 10:35:00,2
2017-12-09 10:40:00,2
2017-12-09 10:45:00,2
2017-12-09 10:50:00,2
2017-12-12 11:00:00,1
2017-12-12 11:05:00,1
2017-12-12 11:10:00,1
2017-12-12 11:15:00,2
2017-12-12 11:20:00,2
2017-12-12 11:30:00,2
2017-12-12 11:35:00,2
2017-12-12 11:40:00,1
2017-12-12 11:45:00,2
2017-12-12 11:50:00,2
2017-12-12 12:00:00,2
2017-12-12 22:00:00,2
2017-12-12 23:35:00,1
2017-12-12 23:40:00,0
2017-12-12 23:45:00,2
2017-12-12 23:50:00,0
2017-12-13 00:00:00,0
2017-12-13 00:05:00,0
2017-12-13 00:10:00,0
2017-12-13 00:15:00,0
2017-12-13 00:20:00,0
2017-12-13 00:30:00,2
2017-12-13 00:45:00,2
2017-12-13 00:50:00,2
2017-12-13 15:35:00,1
2017-12-13 16:00:00,1
2017-12-13 16:05:00,2
2017-12-13 16:10:00,2
2017-12-13 16:15:00,1
2017-12-14 12:05:00,1
2017-12-14 12:10:00,2
2017-12-25 02:00:00,3
2017-12-25 06:20:00,0
2017-12-25 06:30:00,1
2017-12-25 07:25:00,2
2017-12-25 07:30:00,1
2017-12-25 07:35:00,2
2017-12-25 07:50:00,2
2017-12-25 08:35:00,0
2017-12-25 08:40:00,0
2017-12-25 08:45:00,0
2017-12-25 14:00:00,3
2017-12-25 14:05:00,3
2017-12-26 15:50:00,3
2017-12-27 16:00:00,3
2017-12-27 18:10:00,0
2017-12-27 18:15:00,0
2017-12-27 20:20:00,1
2017-12-27 20:25:00,1
2017-12-27 20:30:00,1
2017-12-28 11:40:00,0
2017-12-28 14:40:00,1
2017-12-28 14:50:00,2
2017-12-30 13:00:00,3
2017-12-30 16:20:00,3
2018-01-01 01:00:00,1
2018-01-01 01:05:00,1
2018-01-01 12:45:00,3
2018-01-01 15:30:00,2
2018-01-01 15:35:00,1
2018-01-01 15:40:00,2
2018-01-01 15:45:00,2
2018-01-01 15:50:00,1
2018-01-01 15:55:00,2
2018-01-02 22:45:00,3
2018-01-04 02:50:00,2
2018-01-08 05:15:00,2
2018-01-08 10:15:00,2
2018-01-09 08:25:00,3
2018-01-16 11:00:00,1
2018-01-16 11:05:00,1
2018-01-16 11:15:00,1
2018-01-16 11:20:00,1
2018-01-16 11:25:00,2
2018-01-16 11:30:00,2
2018-01-16 11:35:00,2
2018-01-16 15:15:00,1
2018-01-16 19:00:00,1
2018-01-16 19:05:00,1
2018-01-16 19:10:00,1
2018-01-16 19:15:00,1
2018-01-16 19:20:00,2
2018-01-16 19:25:00,2
2018-01-16 19:30:00,1
2018-01-16 19:35:00,2
2018-01-16 19:40:00,2
2018-01-16 19:45:00,2
2018-01-18 03:00:00,2
2018-01-18 03:05:00,2
2018-01-18 03:10:00,2
2018-01-19 12:15:00,3
2018-01-19 18:45:00,3
2018-01-29 02:15:00,3
2018-01-30 21:55:00,1
2018-01-30 22:00:00,2
2018-01-30 22:05:00,2
2018-01-31 03:25:00,2
2018-02-01 08:05:00,3
2018-02-01 08:15:00,3
2018-02-01 08:40:00,3
2018-02-01 17:05:00,1
2018-02-01 17:10:00,1
2018-02-01 17:20:00,0
2018-02-01 17:25:00,0
2018-02-01 17:30:00,0
2018-02-01 17:35:00,0
2018-02-01 17:40:00,0
2018-02-01 17:45:00,1
2018-02-01 17:50:00,0
2018-02-01 17:55:00,1
2018-02-02 08:55:00,1
2018-02-02 09:05:00,1
2018-02-02 09:20:00,1
2018-02-02 09:25:00,1
2018-02-02 09:30:00,1
2018-02-02 09:35:00,2
2018-02-02 09:40:00,2
2018-02-02 10:05:00,2
2018-02-02 10:40:00,2
2018-02-02 11:10:00,2
2018-02-02 20:05:00,3
2018-02-06 08:15:00,0
2018-02-11 12:15:00,1
2018-02-11 16:15:00,0
2018-02-11 16:30:00,0
2018-02-11 16:35:00,0
2018-02-11 17:05:00,0
2018-02-11 17:10:00,0
2018-02-11 17:15:00,0
2018-02-11 17:20:00,0
2018-02-13 21:45:00,2
2018-02-13 21:55:00,2
2018-02-13 22:20:00,2
2018-02-14 10:50:00,3
2018-02-17 10:55:00,0
2018-02-17 11:00:00,1
2018-02-17 11:05:00,0
2018-02-17 11:10:00,0
2018-02-17 11:15:00,0
2018-02-17 11:20:00,0
2018-02-17 11:25:00,0
2018-02-17 11:30:00,0
2018-02-17 11:35:00,0
2018-02-17 11:40:00,0
2018-02-17 11:45:00,0
2018-02-17 11:50:00,0
2018-02-17 11:55:00,0
2018-02-17 12:00:00,0
2018-02-17 12:05:00,0
2018-02-17 12:10:00,0
2018-02-17 12:15:00,0
2018-02-17 12:20:00,1
2018-02-17 12:25:00,0
2018-02-17 12:40:00,2
2018-02-17 12:45:00,2
2018-02-17 12:50:00,2
2018-02-17 12:55:00,1
2018-02-17 13:05:00,2
2018-02-17 22:20:00,1
2018-02-17 22:35:00,0
2018-02-17 22:40:00,0
2018-02-18 12:25:00,3
2018-02-19 20:30:00,2
2018-02-20 00:05:00,0
2018-02-20 00:10:00,0
2018-02-20 00:15:00,0
2018-02-20 00:20:00,0
2018-02-20 00:25:00,0
2018-02-20 00:30:00,0
2018-02-20 00:35:00,0
2018-02-20 00:40:00,0
2018-02-20 00:55:00,1
2018-02-20 01:00:00,0
2018-02-20 01:05:00,0
2018-02-20 01:10:00,2
2018-02-20 01:15:00,1
2018-02-20 01:20:00,2
2018-02-20 01:25:00,2
2018-02-20 01:55:00,2
2018-02-20 02:00:00,1
2018-02-20 02:05:00,1
2018-02-20 02:10:00,0
2018-02-20 02:15:00,0
2018-02-21 05:40:00,3
2018-02-22 12:25:00,3
2018-02-22 12:30:00,3
2018-02-22 12:35:00,3
2018-02-22 12:40:00,2
2018-02-22 18:25:00,1
2018-02-22 18:40:00,2
2018-02-23 00:20:00,3
2018-02-23 00:25:00,3
2018-02-23 00:35:00,3
2018-02-23 13:50:00,3
2018-02-23 14:10:00,3
2018-02-23 15:10:00,3
2018-02-23 23:10:00,3
2018-02-24 09:10:00,0
2018-02-24 09:15:00,1
2018-02-24 09:20:00,1
2018-02-24 09:25:00,2
2018-02-24 09:40:00,2
2018-02-24 09:55:00,2
2018-02-24 10:00:00,2
2018-02-26 10:15:00,0
2018-02-26 19:00:00,1
2018-02-26 19:05:00,0
2018-02-26 19:10:00,0
2018-02-26 19:15:00,0
2018-02-26 19:20:00,1
2018-02-26 19:25:00,0
2018-02-26 19:30:00,0
2018-02-26 19:35:00,0
2018-02-26 20:10:00,1
2018-02-26 20:15:00,2
2018-02-26 20:20:00,1
2018-02-26 20:40:00,2
2018-02-26 20:45:00,2
2018-02-28 19:00:00,2
2018-02-28 19:25:00,2
2018-02-28 20:25:00,3
2018-02-28 22:35:00,3
2018-03-01 06:30:00,3
2018-03-01 06:35:00,3
2018-03-01 13:15:00,3
2018-03-01 13:20:00,3
2018-03-02 17:10:00,3
2018-03-02 17:20:00,3
2018-03-07 19:25:00,1
2018-03-07 19:30:00,1
2018-03-07 20:10:00,0
2018-03-07 20:15:00,2
2018-03-07 20:20:00,2
2018-03-07 20:35:00,2
2018-03-07 23:05:00,1
2018-03-08 01:15:00,1
2018-03-08 01:25:00,2
2018-03-08 01:30:00,2
2018-03-08 01:35:00,2
2018-03-08 02:00:00,2
2018-03-08 02:05:00,2
2018-03-08 16:40:00,3
2018-03-08 16:55:00,3
2018-03-08 23:20:00,2
2018-03-10 15:30:00,2
2018-03-11 10:40:00,3
2018-03-11 12:40:00,3
2018-03-11 12:45:00,3
2018-03-11 12:50:00,3
2018-03-11 12:55:00,2
2018-03-11 13:00:00,3
2018-03-11 13:05:00,3
2018-03-11 13:10:00,3
2018-03-11 13:15:00,2
2018-03-11 13:20:00,2
2018-03-11 13:25:00,2
2018-03-11 13:30:00,2
2018-03-11 13:40:00,2
2018-03-11 13:50:00,2
2018-03-12 05:15:00,3
2018-03-12 05:40:00,3
2018-03-12 06:35:00,3
2018-03-12 10:55:00,3
2018-03-12 11:10:00,3
2018-03-12 11:15:00,3
2018-03-12 13:05:00,3
2018-03-12 14:35:00,3
2018-03-12 14:40:00,3
2018-03-12 14:45:00,2
2018-03-12 15:55:00,3
2018-03-12 17:05:00,3
2018-03-12 17:30:00,3
2018-03-12 17:35:00,3
2018-03-12 22:25:00,3
2018-03-12 22:45:00,3
2018-03-13 02:30:00,1
2018-03-13 02:45:00,0
2018-03-13 02:50:00,0
2018-03-13 02:55:00,0
2018-03-13 03:00:00,0
2018-03-13 03:05:00,0
2018-03-13 03:10:00,0
2018-03-13 03:20:00,2
2018-03-13 03:25:00,0
2018-03-13 03:30:00,0
2018-03-13 03:45:00,0
2018-03-13 04:10:00,2
2018-03-13 07:25:00,3
2018-03-13 16:35:00,3
2018-03-13 17:00:00,3
2018-03-13 17:45:00,3
2018-03-13 21:30:00,3
2018-03-13 21:35:00,3
2018-03-13 21:40:00,3
2018-03-13 22:55:00,3
2018-03-13 23:15:00,2
2018-03-13 23:35:00,2
2018-03-13 23:45:00,2
2018-03-14 00:15:00,2
2018-03-14 00:25:00,2
2018-03-14 00:35:00,2
2018-03-14 00:55:00,3
2018-03-14 01:20:00,3
2018-03-14 11:25:00,3
2018-03-14 11:40:00,3
2018-03-14 12:00:00,3
2018-03-14 12:55:00,3
2018-03-14 15:10:00,3
2018-03-15 10:05:00,3
2018-03-15 16:45:00,3
2018-03-15 17:55:00,3
2018-03-15 19:15:00,3
2018-03-15 23:00:00,3
2018-03-16 00:30:00,3
2018-03-16 01:45:00,3
2018-03-16 02:05:00,3
2018-03-16 03:30:00,3
2018-03-16 05:25:00,3
2018-03-16 05:40:00,3
2018-03-16 05:55:00,3
2018-03-16 06:00:00,3
2018-03-16 06:05:00,2
2018-03-16 06:10:00,3
2018-03-16 07:45:00,3
2018-03-16 08:45:00,3
2018-03-16 09:40:00,3
2018-03-16 11:50:00,2
2018-03-16 14:30:00,3
2018-03-16 15:10:00,3
2018-03-16 15:55:00,3
2018-03-16 17:30:00,3
2018-03-16 18:05:00,3
2018-03-16 18:20:00,3
2018-03-16 19:50:00,3
2018-03-16 20:20:00,3
2018-03-16 21:05:00,3
2018-03-16 21:25:00,3
2018-03-17 07:15:00,3
2018-03-17 07:45:00,3
2018-03-17 08:50:00,2
2018-03-17 09:45:00,3
2018-03-17 11:20:00,3
2018-03-17 11:45:00,3
2018-03-17 12:05:00,3
2018-03-17 12:10:00,3
2018-03-17 12:30:00,2
2018-03-17 12:40:00,3
2018-03-17 13:25:00,3
2018-03-17 14:20:00,3
2018-03-17 15:30:00,2
2018-03-17 15:50:00,3
2018-03-17 16:00:00,3
2018-03-17 16:30:00,3
2018-03-17 16:50:00,3
2018-03-17 23:15:00,3
2018-03-17 23:25:00,3
2018-03-18 00:00:00,3
2018-03-18 00:45:00,3
2018-03-18 01:00:00,3
2018-03-18 03:05:00,3
2018-03-18 03:20:00,3
2018-03-18 03:30:00,3
2018-03-18 04:10:00,3
2018-03-18 07:20:00,3
2018-03-18 12:15:00,3
2018-03-18 18:25:00,3
2018-03-18 23:50:00,2
2018-03-18 23:55:00,3
2018-03-19 00:05:00,3
2018-03-19 00:25:00,3
2018-03-19 00:35:00,3
2018-03-19 02:20:00,3
2018-03-19 02:45:00,3
2018-03-19 04:30:00,2
2018-03-19 04:45:00,2
